eco shell marathon torque;Distance;Torque
London 2016;m;Nm
;0;0
;40;0.801071178
;50;0.239124095
;68;-1.248781036
;100;-1.972861996
;105;-2.654493758
;148;-2.132764952
;150;-1.135855781
;175;-2.286164135
;200;-2.448800306
;214;-2.374315129
;250;-1.328493646
;258;-1.524456396
;290;-1.804706983
;300;-0.944549371
;341;-1.239384059
;350;-0.332117005
;385;-0.136642279
;400;-0.087678784
;421;-0.290365065
;450;-0.672024255
;468;0.664236572
;500;0.149452499
;515;0.031883192
;550;0.030744506
;573;-0.493844315
;600;1.766924507
;628;-0.473979043
;650;1.374992939
;700;0.66237669
;701;0.478249147
;741;0.85786448
;750;0.757230859
;800;-1.164551981
;825;0.784332135
;850;2.415316028
;862;-3.786762044
;900;-0.610397961
;925;-0.545204463
;950;-0.588247255
;1000;-0.60976868
;1050;-0.054998507
;1083;-0.387671302
;1100;-0.302421771
;1150;-0.389772706
;1170;-1.004332342
;1200;-0.601797779
;1237;-0.610738114
;1250;-0.689784411
;1288;-0.553762673
;1300;-0.557957875
;1350;-0.631290124
;1357;-0.5465709
;1400;-0.54220148
;1408;-0.552976073
;1450;-0.737303475
;1466;-0.859359043
;1500;0.109012398
;1525;-2.128315428
;1550;2.128315428
;1586;5.219208863
;1600;5.621483431
;1650;5.978197843
;1659;5.914086498
;1700;5.968912914
;1716;5.180148232
;1750;2.113543684
;1780;-1.825383622
;1800;-4.652134331
;1845;-5.060310328
;1850;-2.391398803
;1900;0.320426458
;1909;-0.159416004
;1950;-0.591979967
;1978;1.917343735
;2000;-0.277166628
;2018;-2.358180592
;2050;-1.640292201
;2076;-0.721974732
;2100;1.663957767
;2149;1.859385552
;2150;1.913073117
;2185;0.659302193
;2200;-0.19129923
;2219;0.125854726
;2244;0.545204463
